,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9
norm_business,,-0.009,,,-0.008,-0.022*,,,-0.022*
,,(0.351),,,(0.413),(0.060),,,(0.062)
norm_business:female_creator,,,,,,0.033,,,0.039*
,,,,,,(0.111),,,(0.062)
norm_social,,,0.007,,0.002,,0.001,,0.002
,,,(0.474),,(0.864),,(0.909),,(0.877)
norm_social:female_creator,,,,,,,0.007,,-0.007
,,,,,,,(0.706),,(0.732)
norm_empathic,,,,0.022**,0.021*,,,0.006,0.004
,,,,(0.045),(0.072),,,(0.672),(0.770)
norm_empathic:female_creator,,,,,,,,0.043*,0.048**
,,,,,,,,(0.069),(0.049)
female_creator,,,,,,-0.006,0.011,-0.028,-0.064
,,,,,,(0.853),(0.868),(0.444),(0.388)
norm_goal,0.114***,0.114***,0.114***,0.116***,0.115***,0.119***,0.117***,0.118***,0.120***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
norm_words,0.027,0.030,0.026,0.025,0.027,0.032*,0.027,0.027,0.031
,(0.155),(0.120),(0.176),(0.190),(0.157),(0.098),(0.164),(0.162),(0.108)
norm_backers_count,1.211***,1.210***,1.212***,1.212***,1.211***,1.210***,1.212***,1.211***,1.210***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
serial_entrepreneur,-0.103***,-0.103***,-0.102***,-0.101***,-0.101***,-0.100***,-0.099***,-0.098***,-0.099***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
media,0.305***,0.303***,0.306***,0.306***,0.304***,0.302***,0.306***,0.306***,0.303***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
sustainability,0.084**,0.084**,0.084**,0.083**,0.084**,0.077**,0.078**,0.077**,0.077**
,(0.019),(0.018),(0.018),(0.020),(0.018),(0.030),(0.029),(0.031),(0.031)
category_comics,-0.163***,-0.166***,-0.164***,-0.163***,-0.165***,-0.162***,-0.158***,-0.158***,-0.161***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
category_fashion,-0.075**,-0.074**,-0.074**,-0.079**,-0.077**,-0.083***,-0.081***,-0.083***,-0.084***
,(0.015),(0.016),(0.016),(0.010),(0.012),(0.007),(0.009),(0.007),(0.006)
year_2021,0.072***,0.072***,0.072***,0.071***,0.071***,0.070***,0.071***,0.071***,0.071***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
constant,0.537,0.545,0.517,0.505,0.509,0.530,0.509,0.502,0.516
Adj. R-squared,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862
df,9.000,10.000,10.000,10.000,12.000,12.000,12.000,12.000,16.000
