,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9
norm_business,,-0.024,,,-0.024,-0.023,,,-0.024
,,(0.171),,,(0.184),(0.255),,,(0.246)
norm_business:female_creator,,,,,,-0.005,,,0.002
,,,,,,(0.902),,,(0.951)
norm_social,,,-0.031,,-0.030,,0.021,,0.028
,,,(0.499),,(0.515),,(0.698),,(0.605)
norm_social:female_creator,,,,,,,-0.171,,-0.213
,,,,,,,(0.066),,(0.027)
norm_empathic,,,,0.004,0.005,,,-0.016,-0.019
,,,,(0.851),(0.817),,,(0.540),(0.463)
norm_empathic:female_creator,,,,,,,,0.063,0.088
,,,,,,,,(0.163),(0.056)
female_creator,,,,,,0.002,0.168,-0.018,0.192
,,,,,,(0.936),(0.079),(0.495),(0.046)
norm_goal,0.067,0.066,0.067,0.067,0.066,0.065,0.068,0.067,0.068
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
norm_words,0.039,0.052,0.044,0.038,0.055,0.052,0.045,0.040,0.057
,(0.151),(0.071),(0.119),(0.179),(0.071),(0.072),(0.116),(0.163),(0.062)
norm_backers_count,1.241,1.241,1.239,1.241,1.239,1.241,1.238,1.242,1.238
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
serial_entrepreneur,-0.057,-0.059,-0.058,-0.057,-0.059,-0.059,-0.058,-0.058,-0.060
,(0.007),(0.005),(0.006),(0.007),(0.005),(0.005),(0.006),(0.006),(0.004)
media,0.325,0.326,0.325,0.325,0.326,0.326,0.320,0.325,0.318
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
sustainability,0.223,0.224,0.225,0.223,0.225,0.223,0.232,0.218,0.223
,(0.002),(0.002),(0.001),(0.002),(0.001),(0.002),(0.001),(0.002),(0.002)
category_comics,-0.103,-0.111,-0.100,-0.102,-0.108,-0.111,-0.098,-0.105,-0.105
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
year_2021,0.058,0.057,0.058,0.058,0.057,0.057,0.058,0.058,0.057
,(0.004),(0.005),(0.004),(0.004),(0.005),(0.005),(0.004),(0.004),(0.004)
constant,0.545,0.522,0.567,0.547,0.546,0.522,0.516,0.548,0.486
Adj. R-squared,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860
df,8.000,9.000,9.000,9.000,11.000,11.000,11.000,11.000,15.000
