,Model 1,Model 2,Model 3,Model 4,Model 5
norm_business,,-0.030***,,,-0.029***
,,(< 0.001),,,(< 0.001)
norm_business:female_creator,,0.013,,,0.015
,,(0.379),,,(0.336)
norm_social,,,0.001,,0.000
,,,(0.932),,(0.963)
norm_social:female_creator,,,0.016,,0.010
,,,(0.238),,(0.490)
norm_empathic,,,,0.013,0.011
,,,,(0.171),(0.255)
norm_empathic:female_creator,,,,0.018,0.015
,,,,(0.286),(0.398)
female_creator,,0.026,-0.016,0.012,-0.033
,,(0.249),(0.742),(0.653),(0.531)
norm_goal,0.108***,0.111***,0.110***,0.111***,0.112***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
norm_words,0.044***,0.050***,0.043***,0.042***,0.048***
,(0.002),(< 0.001),(0.002),(0.002),(< 0.001)
norm_backers_count,1.240***,1.238***,1.241***,1.241***,1.239***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
serial_entrepreneur,-0.113***,-0.110***,-0.109***,-0.108***,-0.107***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
media,0.266***,0.264***,0.269***,0.268***,0.266***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
sustainability,0.130***,0.128***,0.126***,0.126***,0.129***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
category_comics,-0.143***,-0.143***,-0.137***,-0.136***,-0.143***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
category_fashion,-0.047**,-0.054**,-0.052**,-0.056**,-0.052**
,(0.037),(0.017),(0.022),(0.013),(0.021)
year_2021,0.074***,0.071***,0.072***,0.072***,0.071***
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001)
constant,0.517,0.517,0.492,0.474,0.502
Adj. R-squared,0.847,0.847,0.847,0.847,0.847
df,9.000,12.000,12.000,12.000,16.000
