,Model 1,Model 2,Model 3,Model 4,Model 5
norm_business,,-0.021142362779632662,,,-0.021162454692852176
,,0.018778612280642024,,,0.019309246009719318
norm_social,,,0.012821632516662174,,0.0034831052558548133
,,,0.5504871402146054,,0.8761888854407476
norm_empathic,,,,0.02757059399330257,0.026994154340500773
,,,,0.008354185881185649,0.012689844351465624
norm_goal,0.11329908071469427,0.11327806780649387,0.11311402796734124,0.11462755152344624,0.11452847213465525
,1.5778038529203667e-57,1.5451619812433274e-57,3.0724707722052354e-57,1.4161771393177618e-58,2.8985038621989388e-58
norm_words,0.04161401197139219,0.04980960642995601,0.0399831764678109,0.033689543701702816,0.04161557922315555
,0.0029973050821613346,0.0005646962150556916,0.0051257197923600594,0.018748110139752312,0.005059193960803751
norm_backers_count,1.2408743127363258,1.2394436487759033,1.2414042019841627,1.2414814425483431,1.240180674185031
,0.0,0.0,0.0,0.0,0.0
serial_entrepreneur,-0.11054097709180094,-0.11097887102206233,-0.10988676204156687,-0.1078774630398104,-0.1081937381790876
,1.8795276002795807e-18,1.3650781832745029e-18,3.9706479434650344e-18,1.4665382765091665e-17,1.3853713029482942e-17
media,0.2690622456184443,0.268184883406826,0.2701479913545298,0.26940046993958866,0.2688101544816516
,5.8087984634921705e-53,1.2263931891045145e-52,8.071084414640738e-53,4.0179599242234277e-53,2.3454801112053798e-52
sustainability,0.12673903631426714,0.12812881590315678,0.12699920538680762,0.12735563398001332,0.1288045197512681
,1.0604930510534314e-06,8.074664702955002e-07,1.012490021223156e-06,9.327612553532245e-07,7.048020727616899e-07
category_comics,-0.14442518999033158,-0.14882301474025011,-0.14505584334787744,-0.14458165894225333,-0.1491517139311085
,5.293349167051466e-19,7.670205409149185e-20,4.441235360734474e-19,4.720477590373101e-19,8.066855960871213e-20
category_fashion,-0.04735443221873134,-0.04566307894500457,-0.04669297877714659,-0.04999951227019707,-0.048071559511231224
,0.035512240763849845,0.042672023313167905,0.03840312707629407,0.026523273159165094,0.033373278940996585
year_2021,0.07134743833486343,0.07081829448021665,0.07130440673399982,0.07067352406538582,0.07014627750263336
,1.2413161889464917e-11,1.7501641376320606e-11,1.2804987565371483e-11,1.9210863039646807e-11,2.7047964147635183e-11
constant,0.5009869341170975,0.48690866823330653,0.49072090682045766,0.5085218040913051,0.49148376866671006
Adj. R-squared,0.8457814382154609,0.8458646721316521,0.8457695915612775,0.8458910552258385,0.8459551236116273
df,9.0,10.0,10.0,10.0,12.0
