Category,Female,Obs,Mean,SD
art,0,376,0.8085106382978723,0.3939975159226152
art,1,643,0.864696734059098,0.34231349576351866
comics,0,791,0.934260429835651,0.2479831107750856
comics,1,147,0.8843537414965986,0.3208935897266976
crafts,0,69,0.5652173913043478,0.4993602044724247
crafts,1,86,0.5116279069767442,0.502796556834849
dance,0,4,0.75,0.5
dance,1,13,0.8461538461538461,0.3755338080994054
design,0,439,0.9453302961275627,0.22759376163629108
design,1,168,0.9047619047619048,0.29442108502369496
fashion,0,192,0.578125,0.4951499059066574
fashion,1,246,0.8089430894308943,0.3939352749241937
film&video,0,511,0.5420743639921722,0.49871482120599353
film&video,1,199,0.6231155778894473,0.48582777605693456
food,0,303,0.48184818481848185,0.5004969881567513
food,1,204,0.4215686274509804,0.49502499334432115
games,0,1243,0.9259855189058729,0.2618998280239099
games,1,210,0.9,0.30071684690015194
journalism,0,41,0.4146341463414634,0.4987789969564457
journalism,1,31,0.22580645161290322,0.4250237185032414
music,0,474,0.7805907172995781,0.41428364673968554
music,1,198,0.8232323232323232,0.3824389491315567
photography,0,74,0.6891891891891891,0.4659847629843492
photography,1,40,0.675,0.4743416490252569
publishing,0,531,0.8455743879472694,0.36169699559963714
publishing,1,393,0.8880407124681934,0.31571829081412617
technology,0,550,0.36727272727272725,0.4825005244405901
technology,1,133,0.3082706766917293,0.4635248861911062
theater,0,46,0.6304347826086957,0.48802074874715057
theater,1,33,0.696969696969697,0.4666937221594376
