,norm_amount,norm_business,norm_social,norm_empathic,female_creator,norm_goal,norm_words,norm_backers_count,serial_entrepreneur,media,sustainability,category_comics,category_fashion,year_2021
norm_amount,1.000,,,,,,,,,,,,,
,(< 0.001),,,,,,,,,,,,,
norm_business,-0.010,1.000,,,,,,,,,,,,
,(0.339),(< 0.001),,,,,,,,,,,,
norm_social,-0.103,0.136,1.000,,,,,,,,,,,
,(< 0.001),(< 0.001),(< 0.001),,,,,,,,,,,
norm_empathic,0.031,0.047,0.279,1.000,,,,,,,,,,
,(0.004),(< 0.001),(< 0.001),(< 0.001),,,,,,,,,,
female_creator,-0.051,0.111,0.100,0.108,1.000,,,,,,,,,
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),,,,,,,,,
norm_goal,0.187,0.046,0.081,-0.031,-0.091,1.000,,,,,,,,
,(< 0.001),(< 0.001),(< 0.001),(0.005),(< 0.001),(< 0.001),,,,,,,,
norm_words,0.406,0.217,0.114,0.194,-0.050,0.157,1.000,,,,,,,
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),,,,,,,
norm_backers_count,0.911,-0.017,-0.124,0.015,-0.075,0.117,0.405,1.000,,,,,,
,(< 0.001),(0.110),(< 0.001),(0.179),(< 0.001),(< 0.001),(< 0.001),(< 0.001),,,,,,
serial_entrepreneur,0.263,-0.040,-0.131,-0.055,-0.085,-0.158,0.133,0.350,1.000,,,,,
,(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),,,,,
media,0.465,0.017,-0.118,0.052,-0.030,-0.073,0.367,0.454,0.200,1.000,,,,
,(< 0.001),(0.117),(< 0.001),(< 0.001),(0.006),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),,,,
sustainability,0.075,0.061,0.007,0.018,0.051,0.103,0.131,0.042,-0.053,0.030,1.000,,,
,(< 0.001),(< 0.001),(0.530),(0.094),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(0.005),(< 0.001),,,
category_comics,0.058,-0.119,0.032,0.003,-0.129,-0.103,0.062,0.116,0.184,0.114,-0.064,1.000,,
,(< 0.001),(< 0.001),(0.003),(0.773),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(< 0.001),,
category_fashion,-0.076,0.029,-0.065,0.034,0.117,-0.087,-0.068,-0.072,0.012,0.019,0.016,-0.083,1.000,
,(< 0.001),(0.007),(< 0.001),(0.002),(< 0.001),(< 0.001),(< 0.001),(< 0.001),(0.272),(0.088),(0.133),(< 0.001),(< 0.001),
year_2021,0.058,-0.023,0.009,0.024,0.029,0.025,0.029,0.030,0.025,0.028,0.016,0.050,-0.032,1.000
,(< 0.001),(0.035),(0.428),(0.028),(0.007),(0.024),(0.008),(0.006),(0.022),(0.011),(0.151),(< 0.001),(0.004),(< 0.001)
