Variable,Female (mean),Male (mean),t-Value,p-Value (two-sided),p-Value (one-sided)
success,0.766,0.762,0.330,0.741,0.371
norm_amount,3.332,3.455,-4.601,< 0.001,1.000
norm_goal,3.468,3.612,-8.339,< 0.001,1.000
norm_words,2.421,2.464,-4.580,< 0.001,1.000
norm_backers_count,1.679,1.809,-6.889,< 0.001,1.000
serial_entrepreneur,0.199,0.278,-7.851,< 0.001,1.000
norm_duration,5.556,5.570,-0.541,0.588,0.706
category_art,0.234,0.067,22.725,< 0.001,< 0.001
category_comics,0.054,0.140,-11.902,< 0.001,1.000
category_crafts,0.031,0.012,6.112,< 0.001,< 0.001
category_dance,0.005,0.001,2.967,0.003,0.002
category_design,0.061,0.078,-2.747,0.006,0.997
category_fashion,0.090,0.034,10.819,< 0.001,< 0.001
category_film&video,0.073,0.091,-2.782,0.005,0.997
category_food,0.074,0.054,3.728,< 0.001,< 0.001
category_games,0.077,0.220,-16.580,< 0.001,1.000
category_journalism,0.011,0.007,1.879,0.060,0.030
category_music,0.072,0.084,-1.872,0.061,0.969
category_photography,0.015,0.013,0.544,0.586,0.293
category_publishing,0.143,0.094,6.762,< 0.001,< 0.001
category_technology,0.048,0.097,-7.722,< 0.001,1.000
category_theater,0.012,0.008,1.724,0.085,0.042
month_january,0.089,0.080,1.375,0.169,0.085
month_february,0.084,0.083,0.112,0.911,0.455
month_march,0.081,0.085,-0.645,0.519,0.741
month_april,0.073,0.089,-2.499,0.012,0.994
month_may,0.080,0.085,-0.730,0.466,0.767
month_june,0.086,0.082,0.702,0.483,0.241
month_july,0.084,0.083,0.196,0.844,0.422
month_august,0.081,0.085,-0.645,0.519,0.741
month_september,0.088,0.081,1.038,0.299,0.150
month_october,0.087,0.081,0.954,0.340,0.170
month_november,0.084,0.083,0.112,0.911,0.455
month_december,0.083,0.083,0.028,0.978,0.489
year_2019,0.184,0.200,-1.679,0.093,0.953
year_2020,0.329,0.335,-0.576,0.565,0.718
year_2021,0.353,0.324,2.683,0.007,0.004
year_2022,0.134,0.141,-0.950,0.342,0.829
media,0.859,0.880,-2.723,0.006,0.997
sustainability,0.053,0.032,4.698,< 0.001,< 0.001
norm_business,1.399,1.216,11.174,< 0.001,< 0.001
norm_empathic,1.489,1.324,11.272,< 0.001,< 0.001
norm_social,3.374,3.191,10.362,< 0.001,< 0.001
