Category,Female (mean),Male (mean),t-Value,p-Value (two-sided),p-Value (one-sided)
art,0.864696734059098,0.8085106382978723,2.3892213292261886,0.017065538207959786,0.008532769103979893
comics,0.8843537414965986,0.934260429835651,-2.1313781199494097,0.03331797633555276,0.9833410118322236
crafts,0.5116279069767442,0.5652173913043478,-0.6614756814275462,0.5093022387377746,0.7453488806311128
dance,0.8461538461538461,0.75,0.416763150786674,0.6827544916765943,0.34137724583829715
design,0.9047619047619048,0.9453302961275627,-1.8042475210209779,0.07168972289115119,0.9641551385544245
fashion,0.8089430894308943,0.578125,5.433407052196498,< 0.001,< 0.001
film&video,0.6231155778894473,0.5420743639921722,1.9587621454904947,0.05053281911626372,0.02526640955813186
food,0.4215686274509804,0.48184818481848185,-1.335695911322887,0.18225034288390105,0.9088748285580495
games,0.9,0.9259855189058729,-1.3003839697797928,0.19367590289431044,0.9031620485528448
journalism,0.22580645161290322,0.4146341463414634,-1.6930749736803936,0.0948874896137456,0.9525562551931273
music,0.8232323232323232,0.7805907172995781,1.2437195701650623,0.21403776514367945,0.10701888257183972
photography,0.675,0.6891891891891891,-0.15419134076360796,0.877736371194173,0.5611318144029136
publishing,0.8880407124681934,0.8455743879472694,1.8611493615585255,0.06304118464545717,0.03152059232272859
technology,0.3082706766917293,0.36727272727272725,-1.2750762343229962,0.20271709308216768,0.8986414534589162
theater,0.696969696969697,0.6304347826086957,0.6085400043735038,0.544620428072623,0.2723102140363115
