Variable,Success (median),Failure (median),χ²-Value,p-Value
amount,6127.499999999995,170.99999999999991,1737.9980708014782,< 0.001
female_creator,0.0,0.0,N/A,N/A
goal,3000.000000000001,10000.0,490.964594279522,< 0.001
words,345.0,195.5,373.02897889828915,< 0.001
backers_count,104.0,5.0,2105.9257313804424,< 0.001
serial_entrepreneur,0.0,0.0,N/A,N/A
duration,30.0,31.039270833333333,343.5477415490342,< 0.001
category_art,0.0,0.0,N/A,N/A
category_comics,0.0,0.0,N/A,N/A
category_crafts,0.0,0.0,N/A,N/A
category_dance,0.0,0.0,N/A,N/A
category_design,0.0,0.0,N/A,N/A
category_fashion,0.0,0.0,N/A,N/A
category_film&video,0.0,0.0,N/A,N/A
category_food,0.0,0.0,N/A,N/A
category_games,0.0,0.0,N/A,N/A
category_journalism,0.0,0.0,N/A,N/A
category_music,0.0,0.0,N/A,N/A
category_photography,0.0,0.0,N/A,N/A
category_publishing,0.0,0.0,N/A,N/A
category_technology,0.0,0.0,N/A,N/A
category_theater,0.0,0.0,N/A,N/A
month_january,0.0,0.0,N/A,N/A
month_february,0.0,0.0,N/A,N/A
month_march,0.0,0.0,N/A,N/A
month_april,0.0,0.0,N/A,N/A
month_may,0.0,0.0,N/A,N/A
month_june,0.0,0.0,N/A,N/A
month_july,0.0,0.0,N/A,N/A
month_august,0.0,0.0,N/A,N/A
month_september,0.0,0.0,N/A,N/A
month_october,0.0,0.0,N/A,N/A
month_november,0.0,0.0,N/A,N/A
month_december,0.0,0.0,N/A,N/A
year_2019,0.0,0.0,N/A,N/A
year_2020,0.0,0.0,N/A,N/A
year_2021,0.0,0.0,N/A,N/A
year_2022,0.0,0.0,N/A,N/A
media,1.0,1.0,N/A,N/A
sustainability,0.0,0.0,N/A,N/A
business,1.508,1.942,49.926465125123414,< 0.001
empathic,1.9024999999999999,1.9340000000000002,0.30440599350211134,0.5811333523950499
social,10.397,12.121,108.98949741016011,< 0.001
drives,7.645,8.1465,24.2036462351698,< 0.001
